"g1_geneID","g1_geneName","g1_geneType","XIST_r","XIST_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000120915.14","EPHX2","protein_coding",0.0911085375973856,37.8802588996764,2,0,2
"ENSG00000121039.10","RDH10","protein_coding",-0.0647554214580364,2.55663430420712,1,0,1
"ENSG00000121057.13","AKAP1","protein_coding",0.214884917989298,76.9741100323625,3,3,0
"ENSG00000121579.14","NAA50","protein_coding",0.336977320456449,95.2750809061489,1,4,-3
"ENSG00000121621.7","KIF18A","protein_coding",0.223041237670908,79.0614886731392,2,0,2
"ENSG00000121671.12","CRY2","protein_coding",0.270592141751299,87.7669902912621,7,1,6
"ENSG00000121892.15","PDS5A","protein_coding",0.290197465158657,90.5663430420712,5,2,3
"ENSG00000122008.16","POLK","protein_coding",0.189215172152401,69.7734627831715,2,0,2
"ENSG00000122218.17","COPA","protein_coding",0.0602974274359836,27.7022653721683,2,6,-4
"ENSG00000122482.22","ZNF644","protein_coding",0.284859923419409,89.8543689320388,1,0,1
"ENSG00000122483.18","CCDC18","protein_coding",0.0476047583195485,23.8187702265372,5,1,4
"ENSG00000123066.9","MED13L","protein_coding",0.0367373660111102,20.9546925566343,2,0,2
"ENSG00000123562.18","MORF4L2","protein_coding",0.162724923441749,62.4595469255663,12,3,9
"ENSG00000123908.12","AGO2","protein_coding",0.33578425214159,95.210355987055,5,1,4
"ENSG00000123983.15","ACSL3","protein_coding",0.173442034768311,65.4692556634304,2,0,2
"ENSG00000124207.17","CSE1L","protein_coding",0.117309713028961,46.6504854368932,1,5,-4
"ENSG00000124570.21","SERPINB6","protein_coding",0.128755865943035,50.663430420712,3,1,2
"ENSG00000124571.18","XPO5","protein_coding",0.266997595552531,87.1035598705502,11,4,7
"ENSG00000124782.21","RREB1","protein_coding",0.397444977990834,98.4142394822006,4,0,4
"ENSG00000124786.13","SLC35B3","protein_coding",0.0467970047561226,23.5436893203883,1,0,1
"ENSG00000124795.17","DEK","protein_coding",0.0671441998872919,29.8705501618123,0,1,-1
"ENSG00000125430.9","HS3ST3B1","protein_coding",0.0581283281341495,26.7152103559871,4,0,4
"ENSG00000125630.16","POLR1B","protein_coding",0.032875129648715,19.8543689320388,6,7,-1
"ENSG00000125676.20","THOC2","protein_coding",0.184771475549956,68.495145631068,1,1,0
"ENSG00000125977.7","EIF2S2","protein_coding",0.0317676450519641,19.4822006472492,4,9,-5
"ENSG00000126226.22","PCID2","protein_coding",0.0390906607835243,21.4724919093851,1,6,-5
"ENSG00000126261.13","UBA2","protein_coding",0.271754884539827,88.0906148867314,2,4,-2
"ENSG00000126602.11","TRAP1","protein_coding",0.226981993940801,80.0485436893204,0,8,-8
"ENSG00000126653.18","NSRP1","protein_coding",0.230703706309129,80.8414239482201,1,5,-4
"ENSG00000126790.12","L3HYPDH","protein_coding",0.130200230340778,51.1812297734628,1,0,1
"ENSG00000126883.19","NUP214","protein_coding",0.24103829362319,82.9935275080906,4,3,1
"ENSG00000127914.19","AKAP9","protein_coding",0.142496360715737,55.7443365695793,4,0,4
"ENSG00000128731.18","HERC2","protein_coding",0.211527105226251,76.0355987055016,3,0,3
"ENSG00000129810.15","SGO1","protein_coding",0.131434293517241,51.6828478964401,0,1,-1
"ENSG00000130023.16","ERMARD","protein_coding",0.263392792944985,86.7152103559871,10,0,10
"ENSG00000130560.9","UBAC1","protein_coding",0.28494556926423,89.8705501618123,1,5,-4
"ENSG00000130695.16","CEP85","protein_coding",0.357831705007401,96.6666666666667,6,1,5
"ENSG00000130766.5","SESN2","protein_coding",0.0981480603413764,40.3236245954693,4,0,4
"ENSG00000130826.19","DKC1","protein_coding",0.190626120956614,70.2265372168285,3,15,-12
"ENSG00000131373.15","HACL1","protein_coding",0.040346821510685,21.747572815534,1,1,0
"ENSG00000131711.15","MAP1B","protein_coding",0.0951705927689535,39.2233009708738,5,0,5
"ENSG00000131876.18","SNRPA1","protein_coding",0.00131921658182644,11.4239482200647,1,3,-2
"ENSG00000132005.9","RFX1","protein_coding",NA,NA,19,3,16
"ENSG00000132294.15","EFR3A","protein_coding",0.101604787772695,41.2459546925566,0,0,0
"ENSG00000132356.12","PRKAA1","protein_coding",0.254338982734726,85.3074433656958,1,0,1
"ENSG00000132361.18","CLUH","protein_coding",0.119562904940192,47.3948220064725,1,4,-3
"ENSG00000132405.19","TBC1D14","protein_coding",0.131881917891152,51.8446601941748,11,1,10
"ENSG00000132716.19","DCAF8","protein_coding",0.373834252452166,97.3948220064725,7,3,4
"ENSG00000133627.18","ACTR3B","protein_coding",0.101160160363102,41.1165048543689,0,0,0
"ENSG00000134138.22","MEIS2","protein_coding",0.143908320921518,56.1165048543689,2,0,2
"ENSG00000134243.12","SORT1","protein_coding",0.247199997516416,84.0129449838188,9,3,6
