"g1_geneID","g1_geneName","g1_geneType","NEAT1_r","NEAT1_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000144504.16","ANKMY1","protein_coding",0.581631879048198,94.7990155865463,9,2,7
"ENSG00000146067.17","FAM193B","protein_coding",0.495834830439004,85.7095980311731,16,2,14
"ENSG00000146433.11","TMEM181","protein_coding",0.552073585441251,92.4200164068909,4,2,2
"ENSG00000148337.22","CIZ1","protein_coding",0.372038711034994,68.2034454470878,10,1,9
"ENSG00000148339.13","SLC25A25","protein_coding",0.506083701253728,86.6940114848236,9,0,9
"ENSG00000148341.18","SH3GLB2","protein_coding",0.37626607246084,68.7776866283839,5,2,3
"ENSG00000148343.19","MIGA2","protein_coding",0.535461089442711,90.467596390484,11,4,7
"ENSG00000149485.19","FADS1","protein_coding",0.306816587827033,57.3092698933552,5,2,3
"ENSG00000149639.15","MTCL2","protein_coding",0.527554889426915,89.6636587366694,4,5,-1
"ENSG00000149930.18","TAOK2","protein_coding",0.194993283842394,34.8154224774405,19,6,13
"ENSG00000150867.14","PIP4K2A","protein_coding",0.60774084017154,96.5053322395406,1,1,0
"ENSG00000151503.14","NCAPD3","protein_coding",0.503746186286884,86.5299425758819,0,3,-3
"ENSG00000153815.18","CMIP","protein_coding",0.577533291389734,94.4216570959803,8,6,2
"ENSG00000155846.17","PPARGC1B","protein_coding",0.609709860685346,96.6858080393765,8,0,8
"ENSG00000156030.14","MIDEAS","protein_coding",0.470815752442891,82.7235438884331,1,0,1
"ENSG00000156052.11","GNAQ","protein_coding",0.552481995863566,92.4692370795734,1,2,-1
"ENSG00000157303.11","SUSD3","protein_coding",0.497682159969717,85.8572600492207,5,0,5
"ENSG00000157350.13","ST3GAL2","protein_coding",0.554580610405394,92.6004922067268,4,5,-1
"ENSG00000157617.17","C2CD2","protein_coding",0.373459920887985,68.4331419196062,3,0,3
"ENSG00000157637.13","SLC38A10","protein_coding",0.380756615875183,69.4339622641509,12,2,10
"ENSG00000157933.11","SKI","protein_coding",0.672872370477434,98.9827727645611,7,2,5
"ENSG00000158669.11","GPAT4","protein_coding",0.460037874198097,81.3453650533224,5,0,5
"ENSG00000158747.15","NBL1","protein_coding",0.0686510312255115,13.3716160787531,2,0,2
"ENSG00000159720.13","ATP6V0D1","protein_coding",0.361288044856877,66.3986874487285,14,7,7
"ENSG00000160285.15","LSS","protein_coding",0.608521896857319,96.5709598031173,2,2,0
"ENSG00000160439.16","RDH13","protein_coding",0.250159161956096,46.16899097621,6,5,1
"ENSG00000160633.13","SAFB","protein_coding",0.52284837952034,88.974569319114,8,4,4
"ENSG00000160799.13","CCDC12","protein_coding",0.570912129913664,93.9130434782609,5,0,5
"ENSG00000160972.10","PPP1R16A","protein_coding",0.569768419644137,93.8146021328958,17,0,17
"ENSG00000161011.20","SQSTM1","protein_coding",0.654702450619512,98.3264971287941,1,3,-2
"ENSG00000162063.13","CCNF","protein_coding",0.414882868683133,74.8810500410172,6,12,-6
"ENSG00000162337.12","LRP5","protein_coding",0.52341219628962,89.1222313371616,6,8,-2
"ENSG00000162496.10","DHRS3","protein_coding",0.208406401508963,37.5553732567678,3,1,2
"ENSG00000162512.16","SDC3","protein_coding",0.336390439776723,62.0672682526661,3,2,1
"ENSG00000162714.13","ZNF496","protein_coding",0.425055586951782,76.3904840032814,8,1,7
"ENSG00000163126.15","ANKRD23","protein_coding",0.438913868526575,78.3921246923708,6,1,5
"ENSG00000163812.16","ZDHHC3","protein_coding",0.27400436488247,51.1730926989336,3,10,-7
"ENSG00000163931.17","TKT","protein_coding",0.102586854831245,17.752255947498,6,2,4
"ENSG00000164068.16","RNF123","protein_coding",0.448988488388229,79.8195242001641,7,1,6
"ENSG00000164626.9","KCNK5","protein_coding",0.405472700689375,73.3552091878589,0,0,0
"ENSG00000164818.16","DNAAF5","protein_coding",0.383826140728335,69.9589827727646,3,4,-1
"ENSG00000164828.18","SUN1","protein_coding",0.608670561995479,96.5873666940115,5,3,2
"ENSG00000165209.19","STRBP","protein_coding",0.606422421212363,96.3740771123872,2,0,2
"ENSG00000166501.14","PRKCB","protein_coding",0.254747825793545,47.1205906480722,2,5,-3
"ENSG00000166949.18","SMAD3","protein_coding",0.502021468201537,86.3986874487285,3,0,3
"ENSG00000167491.18","GATAD2A","protein_coding",0.428076301741077,76.7514356029532,14,2,12
"ENSG00000167522.18","ANKRD11","protein_coding",0.726287488839063,99.7374897456932,11,5,6
"ENSG00000167670.16","CHAF1A","protein_coding",0.410913035813802,74.1263330598852,2,12,-10
"ENSG00000167972.14","ABCA3","protein_coding",0.376457791206548,68.7940935192781,4,1,3
"ENSG00000167978.19","SRRM2","protein_coding",0.397928490652172,72.239540607055,17,6,11
"ENSG00000167987.11","VPS37C","protein_coding",0.463680908912627,81.9196062346185,7,3,4
"ENSG00000168066.22","SF1","protein_coding",0.26957534906814,50.1558654634947,23,1,22
"ENSG00000168575.11","SLC20A2","protein_coding",0.274523899952606,51.2879409351928,6,2,4
"ENSG00000168924.15","LETM1","protein_coding",0.366748227605002,67.4487284659557,3,4,-1
"ENSG00000169174.13","PCSK9","protein_coding",0.425145457063231,76.4232977850697,3,0,3
"ENSG00000170340.11","B3GNT2","protein_coding",0.581888239514748,94.8154224774405,2,1,1
"ENSG00000171310.11","CHST11","protein_coding",0.531056149113977,89.9261689909762,3,7,-4
"ENSG00000171552.14","BCL2L1","protein_coding",0.121079511453848,20.8203445447088,3,0,3
"ENSG00000171848.16","RRM2","protein_coding",0.612662711174182,96.7842493847416,5,6,-1
"ENSG00000172932.16","ANKRD13D","protein_coding",0.337511773021281,62.1985233798195,16,4,12
"ENSG00000173218.15","VANGL1","protein_coding",0.269408350864653,50.1230516817063,2,1,1
"ENSG00000174915.12","PTDSS2","protein_coding",0.662277745189155,98.6382280557834,14,4,10
"ENSG00000175029.17","CTBP2","protein_coding",0.841459703394362,99.9835931091058,3,1,2
"ENSG00000175137.11","SH3BP5L","protein_coding",0.13000235053465,22.3461853978671,4,0,4
"ENSG00000175164.16","ABO","protein_coding",0.714795713642325,99.6718621821165,5,1,4
"ENSG00000177000.13","MTHFR","protein_coding",0.445605465505634,79.3109105824446,7,1,6
"ENSG00000177084.19","POLE","protein_coding",0.571638469543538,93.9458572600492,5,0,5
"ENSG00000177200.18","CHD9","protein_coding",0.560467536686938,93.0762920426579,1,12,-11
"ENSG00000177830.18","CHID1","protein_coding",0.417482947878261,75.2091878589007,17,5,12
"ENSG00000178209.17","PLEC","protein_coding",0.507740175548591,86.8908941755537,10,3,7
"ENSG00000178921.14","PFAS","protein_coding",-0.0136722592196171,5.41427399507793,6,23,-17
"ENSG00000178950.18","GAK","protein_coding",0.709617069478702,99.5734208367514,13,2,11
"ENSG00000180104.16","EXOC3","protein_coding",0.355252517080378,65.3486464315012,2,6,-4
"ENSG00000180822.12","PSMG4","protein_coding",0.692152174132964,99.3929450369155,5,13,-8
"ENSG00000181026.15","AEN","protein_coding",0.106905040160913,18.2608695652174,2,1,1
"ENSG00000181220.18","ZNF746","protein_coding",0.446443969604999,79.4913863822806,8,3,5
"ENSG00000181404.18","WASHC1","protein_coding",0.552737182424758,92.5020508613618,4,0,4
"ENSG00000182054.10","IDH2","protein_coding",0.262575068415291,48.597210828548,9,3,6
"ENSG00000182095.15","TNRC18","protein_coding",0.644732527524313,97.949138638228,9,1,8
"ENSG00000182872.16","RBM10","protein_coding",0.378865124174097,69.0894175553733,7,4,3
"ENSG00000183479.13","TREX2","protein_coding",0.566448582546345,93.5028712059065,16,0,16
"ENSG00000183495.15","EP400","protein_coding",0.422337231695282,75.980311730927,2,6,-4
"ENSG00000183597.16","TANGO2","protein_coding",0.489397161471338,85.0205086136177,5,10,-5
"ENSG00000184470.21","TXNRD2","protein_coding",0.468263622770408,82.3954060705496,8,1,7
"ENSG00000185129.8","PURA","protein_coding",0.466692784303677,82.2313371616079,3,12,-9
"ENSG00000185686.18","PRAME","protein_coding",0.298404590454603,55.5209187858901,0,0,0
"ENSG00000185730.8","ZNF696","protein_coding",0.365419810433897,67.1205906480722,6,6,0
"ENSG00000185811.21","IKZF1","protein_coding",0.420329577946497,75.6029532403609,2,2,0
"ENSG00000185963.14","BICD2","protein_coding",0.444900854195244,79.2616899097621,4,1,3
"ENSG00000186111.11","PIP5K1C","protein_coding",0.664359214233402,98.7038556193601,8,2,6
"ENSG00000186185.14","KIF18B","protein_coding",0.461556394407069,81.6899097621001,4,8,-4
"ENSG00000186654.22","PRR5","protein_coding",0.512724182056017,87.5307629204266,8,1,7
"ENSG00000186716.21","BCR","protein_coding",0.614285985145531,96.8826907301066,11,0,11
"ENSG00000187688.15","TRPV2","protein_coding",0.244962519472519,45.1189499589828,3,8,-5
"ENSG00000188511.15","MIR3667HG","lncRNA",0.78334928989496,99.9671862182117,11,0,11
"ENSG00000196182.11","STK40","protein_coding",0.262028312015931,48.4659557013946,7,2,5
"ENSG00000196187.12","TMEM63A","protein_coding",0.584138169453184,94.9138638228056,9,5,4
"ENSG00000196411.10","EPHB4","protein_coding",0.262008478684399,48.4495488105004,5,2,3
"ENSG00000196535.20","MYO18A","protein_coding",0.50778596024086,86.9237079573421,9,5,4
"ENSG00000197081.16","IGF2R","protein_coding",0.560666198346979,93.1091058244463,5,1,4
"ENSG00000197183.15","NOL4L","protein_coding",0.496329240655129,85.7424118129614,12,3,9
"ENSG00000197785.14","ATAD3A","protein_coding",0.667276806928455,98.7530762920427,2,10,-8
"ENSG00000197948.11","FCHSD1","protein_coding",0.244846583296696,45.0861361771944,9,29,-20
"ENSG00000198026.8","ZNF335","protein_coding",0.165827176416541,29.2863002461034,11,3,8
"ENSG00000198055.11","GRK6","protein_coding",0.498687389294832,86.0213289581624,15,4,11
"ENSG00000198171.13","DDRGK1","protein_coding",0.193439595186556,34.3396226415094,7,0,7
"ENSG00000198363.18","ASPH","protein_coding",0.380248596153783,69.3191140278917,1,0,1
"ENSG00000198911.13","SREBF2","protein_coding",0.611475544571363,96.7350287120591,11,0,11
"ENSG00000198952.8","SMG5","protein_coding",0.299735486833933,55.8654634946678,18,6,12
"ENSG00000198959.12","TGM2","protein_coding",0.122685470657322,21.0664479081214,3,0,3
"ENSG00000204160.12","ZDHHC18","protein_coding",0.352069010715684,64.5283018867924,13,3,10
"ENSG00000213020.10","ZNF611","protein_coding",0.499547879060718,86.1361771944217,12,1,11
"ENSG00000213024.13","NUP62","protein_coding",0.507890077820388,86.9401148482363,3,8,-5
"ENSG00000213923.13","CSNK1E","protein_coding",0.179231810145957,31.6160787530763,14,2,12
"ENSG00000215908.12","CROCCP2","transcribed_unprocessed_pseudogene",0.66128111841139,98.5890073831009,7,1,6
"ENSG00000225778.6","PROSER2-AS1","lncRNA",0.304880104537281,56.8826907301066,4,0,4
