"RBP","experiment","exp_count","control","ctrl_count","exp_name","ctrl_name"
"SBDS","SBDS_strand-specific_ENCFF635ASG_ENCFF281FSP_f128_f32_+_peaks.bam",931908,"ENCFF600AGC_strand-specific_f128_f32_+_peaks.bam",3704804,"SBDS_eCLIP","SBDS_control"
"SDAD1","SDAD1_strand-specific_ENCFF113QBT_ENCFF946AMH_f128_f32_+_peaks.bam",789182,"ENCFF226CUA_strand-specific_f128_f32_+_peaks.bam",7750452,"SDAD1_eCLIP","SDAD1_control"
"SERBP1","SERBP1_strand-specific_ENCFF943MCZ_ENCFF951GRM_f128_f32_+_peaks.bam",193181,"ENCFF166ZIY_strand-specific_f128_f32_+_peaks.bam",7046176,"SERBP1_eCLIP","SERBP1_control"
"SF3B1","SF3B1_strand-specific_ENCFF564ARY_ENCFF959GNA_f128_f32_+_peaks.bam",802829,"ENCFF359HHB_strand-specific_f128_f32_+_peaks.bam",27665450,"SF3B1_eCLIP","SF3B1_control"
"SF3B4","SF3B4_strand-specific_ENCFF095KWC_ENCFF173BOO_f128_f32_+_peaks.bam",5016935,"ENCFF735PKL_strand-specific_f128_f32_+_peaks.bam",12634288,"SF3B4_eCLIP","SF3B4_control"
"SLBP","SLBP_strand-specific_ENCFF511HSJ_ENCFF218ZEI_f128_f32_+_peaks.bam",376945,"ENCFF879UID_strand-specific_f128_f32_+_peaks.bam",2710902,"SLBP_eCLIP","SLBP_control"
"SLTM","SLTM_strand-specific_ENCFF396BVL_ENCFF712SXL_f128_f32_+_peaks.bam",5623732,"ENCFF048VBN_strand-specific_f128_f32_+_peaks.bam",9495928,"SLTM_eCLIP","SLTM_control"
"SMNDC1","SMNDC1_strand-specific_ENCFF253SPF_ENCFF770DEI_f128_f32_+_peaks.bam",7232830,"ENCFF364ZNC_strand-specific_f128_f32_+_peaks.bam",8203516,"SMNDC1_eCLIP","SMNDC1_control"
"SND1","SND1_strand-specific_ENCFF351QXF_ENCFF867TFQ_f128_f32_+_peaks.bam",10970414,"ENCFF438IIB_strand-specific_f128_f32_+_peaks.bam",13686850,"SND1_eCLIP","SND1_control"
"SRSF1","SRSF1_strand-specific-reverse_ENCFF810FCS_ENCFF305QSS_F16_+_peaks.bam",8225285,"ENCFF241WHP_strand-specific-reverse_ENCFF555ISB_strand-specific-reverse_F16_+_peaks.bam",4768555,"SRSF1_eCLIP","SRSF1_control"
"SRSF7","SRSF7_strand-specific_ENCFF149XNS_ENCFF937IVH_f128_f32_+_peaks.bam",3600534,"ENCFF294TTP_strand-specific_f128_f32_+_peaks.bam",2451728,"SRSF7_eCLIP","SRSF7_control"
"SRSF9","SRSF9_strand-specific-reverse_ENCFF870JPN_ENCFF937IDV_F16_+_peaks.bam",2000068,"ENCFF064HSV_strand-specific-reverse_ENCFF619YYW_strand-specific-reverse_F16_+_peaks.bam",2595316,"SRSF9_eCLIP","SRSF9_control"
"SSB","SSB_strand-specific_ENCFF566TDO_ENCFF205JFL_f128_f32_+_peaks.bam",4529264,"ENCFF453TEC_strand-specific_f128_f32_+_peaks.bam",4340996,"SSB_eCLIP","SSB_control"
"SUPV3L1","SUPV3L1_strand-specific_ENCFF496FIX_ENCFF829FDR_f128_f32_+_peaks.bam",537076,"ENCFF781OKE_strand-specific_f128_f32_+_peaks.bam",37398834,"SUPV3L1_eCLIP","SUPV3L1_control"
"TAF15","TAF15_strand-specific_ENCFF501PCN_ENCFF044RGH_f128_f32_+_peaks.bam",9851098,"ENCFF053BXG_strand-specific_f128_f32_+_peaks.bam",9841322,"TAF15_eCLIP","TAF15_control"
"TARDBP","TARDBP_strand-specific-reverse_ENCFF862SNV_ENCFF748KMS_F16_+_peaks.bam",3126807,"ENCFF667EQF_strand-specific-reverse_ENCFF913CBD_strand-specific-reverse_F16_+_peaks.bam",3998331,"TARDBP_eCLIP","TARDBP_control"
"TBRG4","TBRG4_strand-specific_ENCFF259AFA_ENCFF273ZJR_f128_f32_+_peaks.bam",3666583,"ENCFF083OHX_strand-specific_f128_f32_+_peaks.bam",10058850,"TBRG4_eCLIP","TBRG4_control"
"TIA1","TIA1_strand-specific_ENCFF080VML_ENCFF581EBE_f128_f32_+_peaks.bam",16277150,"ENCFF910OEJ_strand-specific_f128_f32_+_peaks.bam",12826934,"TIA1_eCLIP","TIA1_control"
"TRA2A","TRA2A_strand-specific_ENCFF159MVB_ENCFF846XXE_f128_f32_+_peaks.bam",4222426,"ENCFF068LVA_strand-specific_f128_f32_+_peaks.bam",3943252,"TRA2A_eCLIP","TRA2A_control"
"TROVE2","TROVE2_strand-specific_ENCFF294FZI_ENCFF063MVN_f128_f32_+_peaks.bam",7597688,"ENCFF497KTD_strand-specific_f128_f32_+_peaks.bam",17135452,"TROVE2_eCLIP","TROVE2_control"
"U2AF1","U2AF1_strand-specific_ENCFF314SWS_ENCFF132PVT_f128_f32_+_peaks.bam",3599165,"ENCFF948OYU_strand-specific_f128_f32_+_peaks.bam",4410436,"U2AF1_eCLIP","U2AF1_control"
"U2AF2","U2AF2_strand-specific_ENCFF835KXL_ENCFF936JSP_f128_f32_+_peaks.bam",9346575,"ENCFF227TON_strand-specific_f128_f32_+_peaks.bam",3800524,"U2AF2_eCLIP","U2AF2_control"
"UCHL5","UCHL5_strand-specific_ENCFF903GDN_ENCFF952TJF_f128_f32_+_peaks.bam",13498307,"ENCFF156WVL_strand-specific_f128_f32_+_peaks.bam",19900026,"UCHL5_eCLIP","UCHL5_control"
"UPF1","UPF1_strand-specific_ENCFF948AOR_ENCFF701TPG_f128_f32_+_peaks.bam",6777099,"ENCFF429YHX_strand-specific_f128_f32_+_peaks.bam",11813112,"UPF1_eCLIP","UPF1_control"
"UTP18","UTP18_strand-specific_ENCFF211AAW_ENCFF046FNK_f128_f32_+_peaks.bam",1789081,"ENCFF503MUZ_strand-specific_f128_f32_+_peaks.bam",7656078,"UTP18_eCLIP","UTP18_control"
"UTP3","UTP3_strand-specific_ENCFF826UUS_ENCFF612HAQ_f128_f32_+_peaks.bam",525678,"ENCFF090UAF_strand-specific_f128_f32_+_peaks.bam",19602700,"UTP3_eCLIP","UTP3_control"
"WDR3","WDR3_strand-specific_ENCFF416OND_ENCFF372YUO_f128_f32_+_peaks.bam",1350663,"ENCFF978VBW_strand-specific_f128_f32_+_peaks.bam",12400670,"WDR3_eCLIP","WDR3_control"
"WDR43","WDR43_strand-specific_ENCFF580XQC_ENCFF912BRE_f128_f32_+_peaks.bam",1605637,"ENCFF873AEV_strand-specific_f128_f32_+_peaks.bam",12492880,"WDR43_eCLIP","WDR43_control"
"WRN","WRN_strand-specific_ENCFF526BOW_ENCFF945HNC_f128_f32_+_peaks.bam",2251196,"ENCFF068FML_strand-specific_f128_f32_+_peaks.bam",18801516,"WRN_eCLIP","WRN_control"
"XRCC6","XRCC6_strand-specific_ENCFF455DRN_ENCFF337RLS_f128_f32_+_peaks.bam",6255117,"ENCFF984WTC_strand-specific_f128_f32_+_peaks.bam",19641028,"XRCC6_eCLIP","XRCC6_control"
"XRN2","XRN2_strand-specific_ENCFF794JUI_ENCFF862IYK_f128_f32_+_peaks.bam",4609587,"ENCFF768FYM_strand-specific_f128_f32_+_peaks.bam",7216824,"XRN2_eCLIP","XRN2_control"
"YBX3","YBX3_strand-specific_ENCFF184OIG_ENCFF279AVU_f128_f32_+_peaks.bam",18391932,"ENCFF409LAD_strand-specific_f128_f32_+_peaks.bam",9778914,"YBX3_eCLIP","YBX3_control"
"YWHAG","YWHAG_strand-specific_ENCFF186FHG_ENCFF052ORJ_f128_f32_+_peaks.bam",4251090,"ENCFF114ELO_strand-specific_f128_f32_+_peaks.bam",4430618,"YWHAG_eCLIP","YWHAG_control"
"ZC3H11A","ZC3H11A_strand-specific_ENCFF709BYW_ENCFF715RSI_f128_f32_+_peaks.bam",3043936,"ENCFF610DOP_strand-specific_f128_f32_+_peaks.bam",11390940,"ZC3H11A_eCLIP","ZC3H11A_control"
"ZC3H8","ZC3H8_strand-specific_ENCFF409GUM_ENCFF892SVF_f128_f32_+_peaks.bam",1092186,"ENCFF661LGO_strand-specific_f128_f32_+_peaks.bam",1941826,"ZC3H8_eCLIP","ZC3H8_control"
"ZNF622","ZNF622_strand-specific_ENCFF259ZHT_ENCFF934JXI_f128_f32_+_peaks.bam",11663118,"ENCFF091KVP_strand-specific_f128_f32_+_peaks.bam",16577674,"ZNF622_eCLIP","ZNF622_control"
"ZNF800","ZNF800_strand-specific_ENCFF693MLV_ENCFF420ZEI_f128_f32_+_peaks.bam",2885194,"ENCFF609LFM_strand-specific_f128_f32_+_peaks.bam",8241012,"ZNF800_eCLIP","ZNF800_control"
"ZRANB2","ZRANB2_strand-specific_ENCFF348UPB_ENCFF588XPN_f128_f32_+_peaks.bam",1718163,"ENCFF824LSN_strand-specific_f128_f32_+_peaks.bam",8013330,"ZRANB2_eCLIP","ZRANB2_control"
