"category","splice","hmseekrunique_lensum","nonsig_lensum","funcdomain","pthreshold","fisherp","fisherp_bias","sigperct","perct_diff"
"activator","spliced",133,665,"NEAT1chk12","p0.05",0.722516426131152,"",16.6666666666667,0.573951434878587
"repressor","spliced",243,1267,"NEAT1chk12","p0.05",0.722516426131152,"",16.0927152317881,0.573951434878587
"activator","unspliced",3587,12642,"NEAT1chk13","p0.05",0.421930808255717,"",22.1024092673609,-0.368055114438143
"repressor","unspliced",3842,13256,"NEAT1chk13","p0.05",0.421930808255717,"",22.470464381799,-0.368055114438143
"activator","spliced",41,757,"NEAT1chk13","p0.05",7.30063403231456e-20,"repressor",5.13784461152882,-12.8091752560208
"repressor","spliced",271,1239,"NEAT1chk13","p0.05",7.30063403231456e-20,"repressor",17.9470198675497,-12.8091752560208
"activator","unspliced",559,15670,"NEAT1chk14","p0.05",0.0470764457901657,"repressor",3.44445129089901,-0.409800668394477
"repressor","unspliced",659,16439,"NEAT1chk14","p0.05",0.0470764457901657,"repressor",3.85425195929348,-0.409800668394477
"activator","spliced",29,769,"NEAT1chk14","p0.05",0.156816151394315,"",3.63408521303258,1.05130375607894
"repressor","spliced",39,1471,"NEAT1chk14","p0.05",0.156816151394315,"",2.58278145695364,1.05130375607894
"activator","unspliced",4804,11425,"NEAT1chk15","p0.05",0.000464492887143418,"activator",29.6013309507671,1.73679331258501
"repressor","unspliced",4764,12333,"NEAT1chk15","p0.05",0.000464492887143418,"activator",27.8645376381821,1.73679331258501
"activator","spliced",97,701,"NEAT1chk15","p0.05",4.02505311886107e-06,"repressor",12.1553884711779,-7.51348570100748
"repressor","spliced",297,1213,"NEAT1chk15","p0.05",4.02505311886107e-06,"repressor",19.6688741721854,-7.51348570100748
"activator","unspliced",4948,11282,"NEAT1chk16","p0.05",0.519723973270316,"",30.486752926679,0.329415382080523
"repressor","unspliced",5156,11941,"NEAT1chk16","p0.05",0.519723973270316,"",30.1573375445985,0.329415382080523
"activator","spliced",124,675,"NEAT1chk16","p0.05",0.0512050468760396,"",15.5193992490613,-3.28854777080622
"repressor","spliced",284,1226,"NEAT1chk16","p0.05",0.0512050468760396,"",18.8079470198675,-3.28854777080622
"activator","unspliced",343,15886,"NEAT1chk17","p0.05",6.92849584567045e-28,"activator",2.11350052375377,1.38826950258171
"repressor","unspliced",124,16974,"NEAT1chk17","p0.05",6.92849584567045e-28,"activator",0.725231021172067,1.38826950258171
"activator","spliced",2,796,"NEAT1chk17","p0.05",0.237013100174238,"",0.25062656641604,-0.411625089213099
"repressor","spliced",10,1500,"NEAT1chk17","p0.05",0.237013100174238,"",0.662251655629139,-0.411625089213099
"activator","unspliced",255,15974,"NEAT1chk18","p0.05",2.95877394762028e-15,"activator",1.57126132232423,0.898668036559818
"repressor","unspliced",115,16983,"NEAT1chk18","p0.05",2.95877394762028e-15,"activator",0.672593285764417,0.898668036559818
"activator","spliced",5,793,"NEAT1chk18","p0.05",0.328671662967501,"",0.6265664160401,0.295440588225531
"repressor","spliced",5,1505,"NEAT1chk18","p0.05",0.328671662967501,"",0.33112582781457,0.295440588225531
"activator","unspliced",916,15314,"NEAT1chk19","p0.05",0.00713022357078623,"activator",5.64386937769563,0.666387948205071
"repressor","unspliced",851,16246,"NEAT1chk19","p0.05",0.00713022357078623,"activator",4.97748142949055,0.666387948205071
"activator","spliced",32,766,"NEAT1chk19","p0.05",0.135352933860476,"",4.01002506265664,1.22856810901426
"repressor","spliced",42,1468,"NEAT1chk19","p0.05",0.135352933860476,"",2.78145695364238,1.22856810901426
"activator","unspliced",517,15713,"NEAT1chk2","p0.05",0.0114232652962216,"activator",3.18545902649415,0.471691334366413
"repressor","unspliced",464,16634,"NEAT1chk2","p0.05",0.0114232652962216,"activator",2.71376769212773,0.471691334366413
"activator","spliced",24,775,"NEAT1chk2","p0.05",0.500443567975426,"",3.00375469336671,0.48719840197598
"repressor","spliced",38,1472,"NEAT1chk2","p0.05",0.500443567975426,"",2.51655629139073,0.48719840197598
"activator","unspliced",354,15876,"NEAT1chk20","p0.05",5.53735186125284e-13,"activator",2.181146025878,1.01135015525743
"repressor","unspliced",200,16897,"NEAT1chk20","p0.05",5.53735186125284e-13,"activator",1.16979587062058,1.01135015525743
"activator","spliced",5,793,"NEAT1chk20","p0.05",0.328671662967501,"",0.6265664160401,0.295440588225531
"repressor","spliced",5,1505,"NEAT1chk20","p0.05",0.328671662967501,"",0.33112582781457,0.295440588225531
